"start","end","keyword","hits","location"
2015-01-04,2015-01-10,"Pablo Picasso",62,"World"
2015-01-11,2015-01-17,"Pablo Picasso",65,"World"
2015-01-18,2015-01-24,"Pablo Picasso",63,"World"
2015-01-25,2015-01-31,"Pablo Picasso",65,"World"
2015-02-01,2015-02-07,"Pablo Picasso",65,"World"
2015-02-08,2015-02-14,"Pablo Picasso",73,"World"
2015-02-15,2015-02-21,"Pablo Picasso",66,"World"
2015-02-22,2015-02-28,"Pablo Picasso",73,"World"
2015-03-01,2015-03-07,"Pablo Picasso",66,"World"
2015-03-08,2015-03-14,"Pablo Picasso",69,"World"
2015-03-15,2015-03-21,"Pablo Picasso",72,"World"
2015-03-22,2015-03-28,"Pablo Picasso",74,"World"
2015-03-29,2015-04-04,"Pablo Picasso",57,"World"
2015-04-05,2015-04-11,"Pablo Picasso",70,"World"
2015-04-12,2015-04-18,"Pablo Picasso",80,"World"
2015-04-19,2015-04-25,"Pablo Picasso",75,"World"
2015-04-26,2015-05-02,"Pablo Picasso",70,"World"
2015-05-03,2015-05-09,"Pablo Picasso",74,"World"
2015-05-10,2015-05-16,"Pablo Picasso",100,"World"
2015-05-17,2015-05-23,"Pablo Picasso",82,"World"
2015-05-24,2015-05-30,"Pablo Picasso",73,"World"
2015-05-31,2015-06-06,"Pablo Picasso",69,"World"
2015-06-07,2015-06-13,"Pablo Picasso",66,"World"
2015-06-14,2015-06-20,"Pablo Picasso",54,"World"
2015-06-21,2015-06-27,"Pablo Picasso",52,"World"
2015-06-28,2015-07-04,"Pablo Picasso",39,"World"
2015-07-05,2015-07-11,"Pablo Picasso",38,"World"
2015-07-12,2015-07-18,"Pablo Picasso",33,"World"
2015-07-19,2015-07-25,"Pablo Picasso",44,"World"
2015-07-26,2015-08-01,"Pablo Picasso",30,"World"
2015-08-02,2015-08-08,"Pablo Picasso",39,"World"
2015-08-09,2015-08-15,"Pablo Picasso",40,"World"
2015-08-16,2015-08-22,"Pablo Picasso",48,"World"
2015-08-23,2015-08-29,"Pablo Picasso",52,"World"
2015-08-30,2015-09-05,"Pablo Picasso",56,"World"
2015-09-06,2015-09-12,"Pablo Picasso",58,"World"
2015-09-13,2015-09-19,"Pablo Picasso",61,"World"
2015-09-20,2015-09-26,"Pablo Picasso",65,"World"
2015-09-27,2015-10-03,"Pablo Picasso",69,"World"
2015-10-04,2015-10-10,"Pablo Picasso",66,"World"
2015-10-11,2015-10-17,"Pablo Picasso",57,"World"
2015-10-18,2015-10-24,"Pablo Picasso",62,"World"
2015-10-25,2015-10-31,"Pablo Picasso",68,"World"
2015-11-01,2015-11-07,"Pablo Picasso",66,"World"
2015-11-08,2015-11-14,"Pablo Picasso",66,"World"
2015-11-15,2015-11-21,"Pablo Picasso",63,"World"
2015-11-22,2015-11-28,"Pablo Picasso",57,"World"
2015-11-29,2015-12-05,"Pablo Picasso",60,"World"
2015-12-06,2015-12-12,"Pablo Picasso",60,"World"
2015-12-13,2015-12-19,"Pablo Picasso",48,"World"
2015-12-20,2015-12-26,"Pablo Picasso",34,"World"
2015-12-27,2016-01-02,"Pablo Picasso",38,"World"
2016-01-03,2016-01-09,"Pablo Picasso",48,"World"
2016-01-10,2016-01-16,"Pablo Picasso",58,"World"
2016-01-17,2016-01-23,"Pablo Picasso",56,"World"
2016-01-24,2016-01-30,"Pablo Picasso",64,"World"
2016-01-31,2016-02-06,"Pablo Picasso",67,"World"
2015-01-04,2015-01-10,"Andy Warhol",92,"World"
2015-01-11,2015-01-17,"Andy Warhol",84,"World"
2015-01-18,2015-01-24,"Andy Warhol",87,"World"
2015-01-25,2015-01-31,"Andy Warhol",84,"World"
2015-02-01,2015-02-07,"Andy Warhol",82,"World"
2015-02-08,2015-02-14,"Andy Warhol",81,"World"
2015-02-15,2015-02-21,"Andy Warhol",85,"World"
2015-02-22,2015-02-28,"Andy Warhol",84,"World"
2015-03-01,2015-03-07,"Andy Warhol",89,"World"
2015-03-08,2015-03-14,"Andy Warhol",82,"World"
2015-03-15,2015-03-21,"Andy Warhol",84,"World"
2015-03-22,2015-03-28,"Andy Warhol",85,"World"
2015-03-29,2015-04-04,"Andy Warhol",77,"World"
2015-04-05,2015-04-11,"Andy Warhol",71,"World"
2015-04-12,2015-04-18,"Andy Warhol",74,"World"
2015-04-19,2015-04-25,"Andy Warhol",84,"World"
2015-04-26,2015-05-02,"Andy Warhol",82,"World"
2015-05-03,2015-05-09,"Andy Warhol",78,"World"
2015-05-10,2015-05-16,"Andy Warhol",79,"World"
2015-05-17,2015-05-23,"Andy Warhol",82,"World"
2015-05-24,2015-05-30,"Andy Warhol",74,"World"
2015-05-31,2015-06-06,"Andy Warhol",76,"World"
2015-06-07,2015-06-13,"Andy Warhol",71,"World"
2015-06-14,2015-06-20,"Andy Warhol",68,"World"
2015-06-21,2015-06-27,"Andy Warhol",70,"World"
2015-06-28,2015-07-04,"Andy Warhol",60,"World"
2015-07-05,2015-07-11,"Andy Warhol",55,"World"
2015-07-12,2015-07-18,"Andy Warhol",52,"World"
2015-07-19,2015-07-25,"Andy Warhol",53,"World"
2015-07-26,2015-08-01,"Andy Warhol",56,"World"
2015-08-02,2015-08-08,"Andy Warhol",75,"World"
2015-08-09,2015-08-15,"Andy Warhol",56,"World"
2015-08-16,2015-08-22,"Andy Warhol",61,"World"
2015-08-23,2015-08-29,"Andy Warhol",69,"World"
2015-08-30,2015-09-05,"Andy Warhol",68,"World"
2015-09-06,2015-09-12,"Andy Warhol",75,"World"
2015-09-13,2015-09-19,"Andy Warhol",72,"World"
2015-09-20,2015-09-26,"Andy Warhol",67,"World"
2015-09-27,2015-10-03,"Andy Warhol",78,"World"
2015-10-04,2015-10-10,"Andy Warhol",81,"World"
2015-10-11,2015-10-17,"Andy Warhol",83,"World"
2015-10-18,2015-10-24,"Andy Warhol",84,"World"
2015-10-25,2015-10-31,"Andy Warhol",85,"World"
2015-11-01,2015-11-07,"Andy Warhol",83,"World"
2015-11-08,2015-11-14,"Andy Warhol",82,"World"
2015-11-15,2015-11-21,"Andy Warhol",85,"World"
2015-11-22,2015-11-28,"Andy Warhol",73,"World"
2015-11-29,2015-12-05,"Andy Warhol",78,"World"
2015-12-06,2015-12-12,"Andy Warhol",80,"World"
2015-12-13,2015-12-19,"Andy Warhol",70,"World"
2015-12-20,2015-12-26,"Andy Warhol",60,"World"
2015-12-27,2016-01-02,"Andy Warhol",63,"World"
2016-01-03,2016-01-09,"Andy Warhol",73,"World"
2016-01-10,2016-01-16,"Andy Warhol",100,"World"
2016-01-17,2016-01-23,"Andy Warhol",80,"World"
2016-01-24,2016-01-30,"Andy Warhol",87,"World"
2016-01-31,2016-02-06,"Andy Warhol",80,"World"
2015-01-04,2015-01-10,"Claude Monet",85,"World"
2015-01-11,2015-01-17,"Claude Monet",83,"World"
2015-01-18,2015-01-24,"Claude Monet",81,"World"
2015-01-25,2015-01-31,"Claude Monet",81,"World"
2015-02-01,2015-02-07,"Claude Monet",83,"World"
2015-02-08,2015-02-14,"Claude Monet",73,"World"
2015-02-15,2015-02-21,"Claude Monet",72,"World"
2015-02-22,2015-02-28,"Claude Monet",78,"World"
2015-03-01,2015-03-07,"Claude Monet",87,"World"
2015-03-08,2015-03-14,"Claude Monet",81,"World"
2015-03-15,2015-03-21,"Claude Monet",80,"World"
2015-03-22,2015-03-28,"Claude Monet",91,"World"
2015-03-29,2015-04-04,"Claude Monet",69,"World"
2015-04-05,2015-04-11,"Claude Monet",73,"World"
2015-04-12,2015-04-18,"Claude Monet",90,"World"
2015-04-19,2015-04-25,"Claude Monet",100,"World"
2015-04-26,2015-05-02,"Claude Monet",91,"World"
2015-05-03,2015-05-09,"Claude Monet",93,"World"
2015-05-10,2015-05-16,"Claude Monet",94,"World"
2015-05-17,2015-05-23,"Claude Monet",98,"World"
2015-05-24,2015-05-30,"Claude Monet",75,"World"
2015-05-31,2015-06-06,"Claude Monet",79,"World"
2015-06-07,2015-06-13,"Claude Monet",75,"World"
2015-06-14,2015-06-20,"Claude Monet",64,"World"
2015-06-21,2015-06-27,"Claude Monet",63,"World"
2015-06-28,2015-07-04,"Claude Monet",49,"World"
2015-07-05,2015-07-11,"Claude Monet",46,"World"
2015-07-12,2015-07-18,"Claude Monet",48,"World"
2015-07-19,2015-07-25,"Claude Monet",37,"World"
2015-07-26,2015-08-01,"Claude Monet",44,"World"
2015-08-02,2015-08-08,"Claude Monet",36,"World"
2015-08-09,2015-08-15,"Claude Monet",43,"World"
2015-08-16,2015-08-22,"Claude Monet",45,"World"
2015-08-23,2015-08-29,"Claude Monet",54,"World"
2015-08-30,2015-09-05,"Claude Monet",62,"World"
2015-09-06,2015-09-12,"Claude Monet",62,"World"
2015-09-13,2015-09-19,"Claude Monet",72,"World"
2015-09-20,2015-09-26,"Claude Monet",72,"World"
2015-09-27,2015-10-03,"Claude Monet",67,"World"
2015-10-04,2015-10-10,"Claude Monet",68,"World"
2015-10-11,2015-10-17,"Claude Monet",63,"World"
2015-10-18,2015-10-24,"Claude Monet",70,"World"
2015-10-25,2015-10-31,"Claude Monet",58,"World"
2015-11-01,2015-11-07,"Claude Monet",90,"World"
2015-11-08,2015-11-14,"Claude Monet",78,"World"
2015-11-15,2015-11-21,"Claude Monet",82,"World"
2015-11-22,2015-11-28,"Claude Monet",63,"World"
2015-11-29,2015-12-05,"Claude Monet",70,"World"
2015-12-06,2015-12-12,"Claude Monet",63,"World"
2015-12-13,2015-12-19,"Claude Monet",62,"World"
2015-12-20,2015-12-26,"Claude Monet",30,"World"
2015-12-27,2016-01-02,"Claude Monet",36,"World"
2016-01-03,2016-01-09,"Claude Monet",74,"World"
2016-01-10,2016-01-16,"Claude Monet",71,"World"
2016-01-17,2016-01-23,"Claude Monet",70,"World"
2016-01-24,2016-01-30,"Claude Monet",73,"World"
2016-01-31,2016-02-06,"Claude Monet",72,"World"
2015-01-04,2015-01-10,"Francis Bacon",70,"World"
2015-01-11,2015-01-17,"Francis Bacon",77,"World"
2015-01-18,2015-01-24,"Francis Bacon",86,"World"
2015-01-25,2015-01-31,"Francis Bacon",81,"World"
2015-02-01,2015-02-07,"Francis Bacon",85,"World"
2015-02-08,2015-02-14,"Francis Bacon",92,"World"
2015-02-15,2015-02-21,"Francis Bacon",73,"World"
2015-02-22,2015-02-28,"Francis Bacon",96,"World"
2015-03-01,2015-03-07,"Francis Bacon",91,"World"
2015-03-08,2015-03-14,"Francis Bacon",99,"World"
2015-03-15,2015-03-21,"Francis Bacon",90,"World"
2015-03-22,2015-03-28,"Francis Bacon",82,"World"
2015-03-29,2015-04-04,"Francis Bacon",70,"World"
2015-04-05,2015-04-11,"Francis Bacon",80,"World"
2015-04-12,2015-04-18,"Francis Bacon",99,"World"
2015-04-19,2015-04-25,"Francis Bacon",80,"World"
2015-04-26,2015-05-02,"Francis Bacon",97,"World"
2015-05-03,2015-05-09,"Francis Bacon",78,"World"
2015-05-10,2015-05-16,"Francis Bacon",95,"World"
2015-05-17,2015-05-23,"Francis Bacon",80,"World"
2015-05-24,2015-05-30,"Francis Bacon",73,"World"
2015-05-31,2015-06-06,"Francis Bacon",63,"World"
2015-06-07,2015-06-13,"Francis Bacon",67,"World"
2015-06-14,2015-06-20,"Francis Bacon",62,"World"
2015-06-21,2015-06-27,"Francis Bacon",64,"World"
2015-06-28,2015-07-04,"Francis Bacon",51,"World"
2015-07-05,2015-07-11,"Francis Bacon",48,"World"
2015-07-12,2015-07-18,"Francis Bacon",50,"World"
2015-07-19,2015-07-25,"Francis Bacon",37,"World"
2015-07-26,2015-08-01,"Francis Bacon",48,"World"
2015-08-02,2015-08-08,"Francis Bacon",53,"World"
2015-08-09,2015-08-15,"Francis Bacon",61,"World"
2015-08-16,2015-08-22,"Francis Bacon",62,"World"
2015-08-23,2015-08-29,"Francis Bacon",84,"World"
2015-08-30,2015-09-05,"Francis Bacon",84,"World"
2015-09-06,2015-09-12,"Francis Bacon",80,"World"
2015-09-13,2015-09-19,"Francis Bacon",81,"World"
2015-09-20,2015-09-26,"Francis Bacon",87,"World"
2015-09-27,2015-10-03,"Francis Bacon",92,"World"
2015-10-04,2015-10-10,"Francis Bacon",80,"World"
2015-10-11,2015-10-17,"Francis Bacon",79,"World"
2015-10-18,2015-10-24,"Francis Bacon",87,"World"
2015-10-25,2015-10-31,"Francis Bacon",96,"World"
2015-11-01,2015-11-07,"Francis Bacon",90,"World"
2015-11-08,2015-11-14,"Francis Bacon",83,"World"
2015-11-15,2015-11-21,"Francis Bacon",97,"World"
2015-11-22,2015-11-28,"Francis Bacon",79,"World"
2015-11-29,2015-12-05,"Francis Bacon",100,"World"
2015-12-06,2015-12-12,"Francis Bacon",83,"World"
2015-12-13,2015-12-19,"Francis Bacon",67,"World"
2015-12-20,2015-12-26,"Francis Bacon",51,"World"
2015-12-27,2016-01-02,"Francis Bacon",51,"World"
2016-01-03,2016-01-09,"Francis Bacon",70,"World"
2016-01-10,2016-01-16,"Francis Bacon",77,"World"
2016-01-17,2016-01-23,"Francis Bacon",76,"World"
2016-01-24,2016-01-30,"Francis Bacon",87,"World"
2016-01-31,2016-02-06,"Francis Bacon",80,"World"
2015-01-04,2015-01-10,"Gerhard Richter",54,"World"
2015-01-11,2015-01-17,"Gerhard Richter",59,"World"
2015-01-18,2015-01-24,"Gerhard Richter",74,"World"
2015-01-25,2015-01-31,"Gerhard Richter",58,"World"
2015-02-01,2015-02-07,"Gerhard Richter",61,"World"
2015-02-08,2015-02-14,"Gerhard Richter",100,"World"
2015-02-15,2015-02-21,"Gerhard Richter",80,"World"
2015-02-22,2015-02-28,"Gerhard Richter",68,"World"
2015-03-01,2015-03-07,"Gerhard Richter",55,"World"
2015-03-08,2015-03-14,"Gerhard Richter",56,"World"
2015-03-15,2015-03-21,"Gerhard Richter",59,"World"
2015-03-22,2015-03-28,"Gerhard Richter",72,"World"
2015-03-29,2015-04-04,"Gerhard Richter",65,"World"
2015-04-05,2015-04-11,"Gerhard Richter",56,"World"
2015-04-12,2015-04-18,"Gerhard Richter",52,"World"
2015-04-19,2015-04-25,"Gerhard Richter",71,"World"
2015-04-26,2015-05-02,"Gerhard Richter",55,"World"
2015-05-03,2015-05-09,"Gerhard Richter",55,"World"
2015-05-10,2015-05-16,"Gerhard Richter",48,"World"
2015-05-17,2015-05-23,"Gerhard Richter",43,"World"
2015-05-24,2015-05-30,"Gerhard Richter",33,"World"
2015-05-31,2015-06-06,"Gerhard Richter",37,"World"
2015-06-07,2015-06-13,"Gerhard Richter",38,"World"
2015-06-14,2015-06-20,"Gerhard Richter",41,"World"
2015-06-21,2015-06-27,"Gerhard Richter",42,"World"
2015-06-28,2015-07-04,"Gerhard Richter",39,"World"
2015-07-05,2015-07-11,"Gerhard Richter",56,"World"
2015-07-12,2015-07-18,"Gerhard Richter",64,"World"
2015-07-19,2015-07-25,"Gerhard Richter",32,"World"
2015-07-26,2015-08-01,"Gerhard Richter",36,"World"
2015-08-02,2015-08-08,"Gerhard Richter",34,"World"
2015-08-09,2015-08-15,"Gerhard Richter",44,"World"
2015-08-16,2015-08-22,"Gerhard Richter",41,"World"
2015-08-23,2015-08-29,"Gerhard Richter",36,"World"
2015-08-30,2015-09-05,"Gerhard Richter",34,"World"
2015-09-06,2015-09-12,"Gerhard Richter",50,"World"
2015-09-13,2015-09-19,"Gerhard Richter",47,"World"
2015-09-20,2015-09-26,"Gerhard Richter",46,"World"
2015-09-27,2015-10-03,"Gerhard Richter",51,"World"
2015-10-04,2015-10-10,"Gerhard Richter",50,"World"
2015-10-11,2015-10-17,"Gerhard Richter",55,"World"
2015-10-18,2015-10-24,"Gerhard Richter",48,"World"
2015-10-25,2015-10-31,"Gerhard Richter",44,"World"
2015-11-01,2015-11-07,"Gerhard Richter",42,"World"
2015-11-08,2015-11-14,"Gerhard Richter",47,"World"
2015-11-15,2015-11-21,"Gerhard Richter",58,"World"
2015-11-22,2015-11-28,"Gerhard Richter",48,"World"
2015-11-29,2015-12-05,"Gerhard Richter",48,"World"
2015-12-06,2015-12-12,"Gerhard Richter",46,"World"
2015-12-13,2015-12-19,"Gerhard Richter",40,"World"
2015-12-20,2015-12-26,"Gerhard Richter",54,"World"
2015-12-27,2016-01-02,"Gerhard Richter",52,"World"
2016-01-03,2016-01-09,"Gerhard Richter",51,"World"
2016-01-10,2016-01-16,"Gerhard Richter",48,"World"
2016-01-17,2016-01-23,"Gerhard Richter",57,"World"
2016-01-24,2016-01-30,"Gerhard Richter",56,"World"
2016-01-31,2016-02-06,"Gerhard Richter",51,"World"
2015-01-04,2015-01-10,"Mark Rothko",37,"World"
2015-01-11,2015-01-17,"Mark Rothko",48,"World"
2015-01-18,2015-01-24,"Mark Rothko",43,"World"
2015-01-25,2015-01-31,"Mark Rothko",40,"World"
2015-02-01,2015-02-07,"Mark Rothko",43,"World"
2015-02-08,2015-02-14,"Mark Rothko",56,"World"
2015-02-15,2015-02-21,"Mark Rothko",51,"World"
2015-02-22,2015-02-28,"Mark Rothko",64,"World"
